State,Total.Votes,Margin,Clinton,Trump,Johnson,Other
Alabama,2123372,588708,729547,1318255,44467,31103
Alaska,318608,46933,116454,163387,18725,20042
Arizona,2604657,91234,1161167,1252401,106327,84762
Arkansas,1130635,304378,380494,684872,29829,35440
California,14237893,4269978,8753792,4483814,478500,521787
Colorado,2780247,136386,1338870,1202484,144121,94772
Connecticut,1644920,224357,897572,673215,48676,25457
Delaware,443814,50476,235603,185127,14757,8327
D. C.,311268,270107,282830,12723,4906,10809
Florida,9502747,112911,4504975,4617886,207043,172843
Georgia,4141447,211141,1877963,2089104,125306,49074
Hawaii,428937,138044,266891,128847,15954,17245
Idaho,690433,219290,189765,409055,28331,63282
Illinois,5594825,944714,3090729,2146015,209596,148485
Indiana,2757965,524160,1033126,1557286,133993,33560
Iowa,1566031,147314,653669,800983,59186,52193
Kansas,1194755,244013,427005,671018,55406,41326
Kentucky,1924150,574117,628854,1202971,53752,38573
Louisiana,2029032,398484,780154,1178638,37978,32262
Maine,747927,22142,357735,335593,38105,16494
Maryland,2781446,734759,1677928,943169,79605,80744
Massachusetts,3325046,904303,1995196,1090893,138018,100939
Michigan,4824542,10704,2268839,2279543,172136,104024
Minnesota,2945233,44593,1367825,1323232,112984,141192
Mississippi,1211088,215583,485131,700714,14435,10808
Missouri,2828266,523443,1071068,1594511,97359,65328
Montana,501822,101531,177709,279240,28037,16836
Nebraska,844227,211467,284494,495961,38946,24826
Nevada,1125385,27202,539260,512058,37384,36683
New Hampshire,744296,2736,348526,345790,30777,19203
New Jersey,3906723,546345,2148278,1601933,72477,84035
New Mexico,798319,65567,385234,319667,74541,18877
New York,7721795,1736585,4556142,2819557,176600,169496
North Carolina,4741564,173315,2189316,2362631,130126,59491
North Dakota,344360,123036,93758,216794,21434,12374
Ohio,5536547,446837,2394169,2841006,174498,126874
Oklahoma,1452992,528761,420375,949136,83481,0
Oregon,2001336,219703,1002106,782403,94231,122596
Pennsylvania,6166729,44292,2926441,2970733,146715,122840
Rhode Island,464144,71982,252525,180543,14746,16330
South Carolina,2103027,300016,855373,1155389,49204,43061
South Dakota,370093,110263,117458,227721,20850,4064
Tennessee,2508027,652230,870695,1522925,70397,44010
Texas,8993166,807179,3877868,4685047,283492,146759
Utah,1143601,204555,310676,515231,39608,278086
Vermont,315067,83204,178573,95369,10078,31047
Virginia,3982752,212030,1981473,1769443,118274,113562
Washington,3316996,520971,1742718,1221747,160879,191652
West Virginia,721233,300577,188794,489371,23004,20064
Wisconsin,2976150,22748,1382536,1405284,106674,81656
Wyoming,255849,118446,55973,174419,13287,12170
Total,137125484,2868518,65853652,62985134,4489235,3797463
