days.placebo,estimate,primary,week,month,debate_forum
17,-4.741141445,0,3,12,0
18,-2.418383475,0,3,12,0
19,-0.963279699,0,3,12,1
20,-0.993035667,0,3,12,0
21,0.205982729,0,4,12,0
22,0.826442604,0,4,12,0
23,0.790235201,0,4,12,0
24,0.805772406,0,4,12,0
25,0.692547465,0,4,12,0
26,0.849530322,0,4,12,0
27,0.47531654,0,4,12,0
28,-0.035582446,0,5,12,0
29,-0.158609779,0,5,12,0
30,-1.953425035,0,5,12,0
31,-3.621856557,0,5,12,0
32,-3.207105292,0,5,1,0
33,-2.312584338,0,5,1,0
34,-1.635941015,0,5,1,0
35,-1.190051091,0,5,1,0
36,-1.366310073,0,6,1,0
37,-1.469319791,0,6,1,0
38,-2.29123521,0,6,1,0
39,-1.834485318,0,6,1,0
40,-1.060188228,0,6,1,0
41,-1.35531277,0,6,1,0
42,-1.593955675,0,6,1,1
43,-1.720761032,0,6,1,0
44,-1.605991306,0,7,1,0
45,-0.522199694,0,7,1,0
46,0.249025835,0,7,1,0
47,0.90269949,0,7,1,0
48,1.371635776,0,7,1,1
49,0.120559465,0,7,1,0
50,-1.833413979,0,7,1,0
51,-3.356614892,0,7,1,0
52,-4.704241248,0,8,1,0
53,-4.492923503,0,8,1,0
54,-4.139765483,0,8,1,0
55,-3.830485407,0,8,1,0
56,-3.970386733,0,8,1,1
57,-3.877788439,0,8,1,0
58,-3.385310602,0,8,1,0
59,-3.200826881,0,8,1,0
60,-2.998675187,0,9,1,0
61,2.886632101,0,9,1,0
62,3.498955259,0,9,1,0
63,3.577021425,1,9,2,0
64,6.189329394,0,9,2,0
65,6.872540516,0,9,2,1
66,7.093142604,0,9,2,1
67,7.226237335,0,9,2,0
68,7.174527985,0,10,2,0
69,7.023714451,0,10,2,0
70,4.954995975,0,10,2,0
71,3.615772039,1,10,2,0
72,2.768933034,0,10,2,0
73,2.502988596,0,10,2,1
74,2.540064222,0,10,2,0
75,-4.571087303,0,10,2,0
76,-5.020053027,0,11,2,0
77,-5.848916964,0,11,2,0
78,-6.000329259,0,11,2,0
79,-6.539778181,0,11,2,0
80,-6.805216675,0,11,2,1
81,-6.823159955,0,11,2,0
82,-6.495908175,1,11,2,0
83,-5.832793025,0,11,2,0
84,-4.558363819,0,12,2,0
85,-4.253971912,0,12,2,1
86,-4.052945153,0,12,2,0
87,-3.297506888,0,12,2,0
88,-1.965883411,0,12,2,0
89,-0.38681928,0,12,2,0
90,4.378267869,0,12,2,0
91,5.33790405,0,12,2,0
92,5.915611191,1,13,3,0
93,6.618264492,0,13,3,0
94,6.558197429,0,13,3,0
95,6.350554974,0,13,3,0
96,7.039245995,0,13,3,0
97,7.939725429,0,13,3,1
98,8.315123323,0,13,3,1
99,7.190597662,1,13,3,0
100,6.460830979,0,14,3,0
101,5.661294378,0,14,3,0
102,3.977000329,0,14,3,0
103,-2.486214538,0,14,3,0
104,-2.984104933,0,14,3,1
105,-7.063161145,0,14,3,1
106,-7.369887379,1,14,3,0
107,-6.587728129,0,14,3,0
108,-5.927762328,0,15,3,0
109,-4.497998188,0,15,3,0
110,-3.522219406,0,15,3,0
111,-3.715502304,0,15,3,0
112,-4.002643645,0,15,3,1
113,-4.026443376,1,15,3,0
114,-2.518343463,0,15,3,0
115,-0.669337005,0,15,3,0
116,0.470366503,0,16,3,0
117,2.136348489,0,16,3,0
118,3.175765064,0,16,3,0
119,3.947263995,0,16,3,0
120,7.181229557,0,16,3,0
121,9.845918558,0,16,3,1
122,9.399515178,0,16,3,0
123,5.187892441,0,16,4,0
124,2.243306451,0,17,4,0
125,-1.091115043,0,17,4,0
126,1.041071528,0,17,4,0
127,1.348357995,1,17,4,0
128,1.82444908,0,17,4,0
129,2.731964411,0,17,4,0
130,4.073343236,0,17,4,0
131,5.12746549,0,17,4,0
132,5.730382755,0,18,4,0
133,6.409706369,0,18,4,0
134,6.341341472,0,18,4,0
135,6.122767405,0,18,4,0
136,6.848792936,0,18,4,1
137,7.800403059,0,18,4,0
138,8.216190285,0,18,4,0
139,8.382955463,0,18,4,0
140,8.424576586,0,19,4,0
141,8.501843694,1,19,4,0
142,8.881457858,0,19,4,0
143,8.625456656,0,19,4,0
144,7.427477189,0,19,4,0
145,6.707823854,0,19,4,0
146,6.984072396,0,19,4,0
147,7.772400826,0,19,4,1
148,7.73391557,1,20,4,
149,7.31510835,0,20,4,
150,6.800172305,0,20,4,
151,5.843187379,0,20,4,
152,3.891644683,0,20,4,
153,2.975992936,0,20,5,
154,2.492189183,0,20,5,
155,1.233145476,1,20,5,
156,0.31202016,0,21,5,
157,-1.195410199,0,21,5,
158,-2.624560351,0,21,5,
159,-3.151028827,0,21,5,
160,-2.936603757,0,21,5,
161,-2.957937304,0,21,5,
162,-3.622477317,1,21,5,
163,-4.037958719,0,21,5,
164,-5.535592222,0,22,5,
165,-7.186045412,0,22,5,
166,-7.461509584,0,22,5,
167,-7.111052616,0,22,5,
168,-7.785790847,0,22,5,
169,-8.503810945,1,22,5,
170,-8.910590663,0,22,5,
171,-7.901195443,0,22,5,
172,-6.584019068,0,23,5,
173,-5.974357828,0,23,5,
174,-4.526986916,0,23,5,
175,-3.578179278,0,23,5,
176,-3.699040711,0,23,5,
177,-3.895660589,0,23,5,
178,-3.925528832,0,23,5,
179,-2.402517176,0,23,5,
180,-0.53444585,0,24,5,
181,0.650684294,0,24,5,
182,2.368087802,0,24,5,
183,3.479909215,0,24,5,
184,4.220815018,0,24,6,
185,7.297347323,0,24,6,
186,9.857620221,0,24,6,
187,9.310140087,0,24,6,
188,9.832124755,0,25,6,
189,11.1245667,0,25,6,
190,9.72855578,1,25,6,
191,8.635840654,0,25,6,
192,7.067260019,0,25,6,
193,5.239145481,0,25,6,
194,2.550132292,0,25,6,
195,-0.510508255,0,25,6,
