days.placebo,estimate,primary,week,month,debate_forum,candidates
17,-4.741141445,0,3,12,0,14
18,-2.418383475,0,3,12,0,14
19,-0.963279699,0,3,12,0,14
20,-0.993035667,0,3,12,0,14
21,0.205982729,0,4,12,0,13
22,0.826442604,0,4,12,0,13
23,0.790235201,0,4,12,0,13
24,0.805772406,0,4,12,0,13
25,0.692547465,0,4,12,0,13
26,0.849530322,0,4,12,0,13
27,0.47531654,0,4,12,0,13
28,-0.035582446,0,5,12,0,13
29,-0.158609779,0,5,12,0,13
30,-1.953425035,0,5,12,0,12
31,-3.621856557,0,5,12,0,12
32,-3.207105292,0,5,1,0,12
33,-2.312584338,0,5,1,0,12
34,-1.635941015,0,5,1,0,12
35,-1.190051091,0,5,1,0,12
36,-1.366310073,0,6,1,0,12
37,-1.469319791,0,6,1,0,12
38,-2.29123521,0,6,1,0,12
39,-1.834485318,0,6,1,0,12
40,-1.060188228,0,6,1,1,12
41,-1.35531277,0,6,1,0,12
42,-1.593955675,0,6,1,0,12
43,-1.720761032,0,6,1,0,12
44,-1.605991306,0,7,1,0,12
45,-0.522199694,0,7,1,1,12
46,0.249025835,0,7,1,0,12
47,0.90269949,0,7,1,0,12
48,1.371635776,0,7,1,0,12
49,0.120559465,0,7,1,0,12
50,-1.833413979,0,7,1,0,12
51,-3.356614892,0,7,1,0,12
52,-4.704241248,0,8,1,0,12
53,-4.492923503,0,8,1,0,12
54,-4.139765483,0,8,1,0,12
55,-3.830485407,0,8,1,0,12
56,-3.970386733,0,8,1,0,12
57,-3.877788439,0,8,1,0,12
58,-3.385310602,0,8,1,0,12
59,-3.200826881,0,8,1,1,12
60,-2.998675187,0,9,1,0,12
61,2.886632101,0,9,1,0,12
62,3.498955259,0,9,1,0,12
63,3.577021425,1,9,2,0,11
64,6.189329394,0,9,2,0,11
65,6.872540516,0,9,2,0,9
66,7.093142604,0,9,2,0,9
67,7.226237335,0,9,2,0,9
68,7.174527985,0,10,2,1,9
69,7.023714451,0,10,2,0,9
70,4.954995975,0,10,2,0,9
71,3.615772039,1,10,2,0,9
72,2.768933034,0,10,2,0,7
73,2.502988596,0,10,2,0,7
74,2.540064222,0,10,2,0,6
75,-4.571087303,0,10,2,1,6
76,-5.020053027,0,11,2,0,6
77,-5.848916964,0,11,2,0,6
78,-6.000329259,0,11,2,0,6
79,-6.539778181,0,11,2,1,6
80,-6.805216675,0,11,2,1,6
81,-6.823159955,0,11,2,0,6
82,-6.495908175,1,11,2,0,5
83,-5.832793025,0,11,2,0,5
84,-4.558363819,0,12,2,0,5
85,-4.253971912,0,12,2,0,5
86,-4.052945153,0,12,2,1,5
87,-3.297506888,0,12,2,1,5
88,-1.965883411,0,12,2,0,5
89,-0.38681928,0,12,2,0,5
90,4.378267869,0,12,2,0,5
91,5.33790405,0,12,2,0,5
92,5.915611191,1,13,3,0,5
93,6.618264492,0,13,3,0,5
94,6.558197429,0,13,3,1,5
95,6.350554974,0,13,3,0,5
96,7.039245995,1,13,3,0,4
97,7.939725429,0,13,3,0,4
98,8.315123323,0,13,3,0,4
99,7.190597662,0,13,3,0,4
100,6.460830979,0,14,3,0,4
101,5.661294378,0,14,3,1,4
102,3.977000329,0,14,3,0,4
103,-2.486214538,1,14,3,0,4
104,-2.984104933,0,14,3,0,4
105,-7.063161145,0,14,3,0,4
106,-7.369887379,0,14,3,0,3
107,-6.587728129,0,14,3,0,3
108,-5.927762328,0,15,3,0,3
109,-4.497998188,0,15,3,0,3
110,-3.522219406,0,15,3,0,3
111,-3.715502304,0,15,3,0,3
112,-4.002643645,0,15,3,0,3
113,-4.026443376,1,15,3,0,3
114,-2.518343463,0,15,3,0,3
115,-0.669337005,0,15,3,0,3
116,0.470366503,0,16,3,0,3
117,2.136348489,0,16,3,0,3
118,3.175765064,0,16,3,0,3
119,3.947263995,0,16,3,0,3
120,7.181229557,0,16,3,1,3
121,9.845918558,0,16,3,0,3
122,9.399515178,0,16,3,0,3
123,5.187892441,0,16,4,0,3
124,2.243306451,0,17,4,0,3
125,-1.091115043,0,17,4,0,3
126,-1.455660225,0,17,4,0,3
127,-2.444506258,1,17,4,0,3
128,-2.902722918,0,17,4,0,3
129,-2.185043835,0,17,4,0,3
130,-1.111420627,0,17,4,0,3
131,-0.625522427,0,17,4,0,3
132,-0.793119681,0,18,4,0,3
133,-0.464205374,0,18,4,0,3
134,1.058389404,0,18,4,0,3
135,2.116824813,0,18,4,0,3
136,1.484347123,0,18,4,0,3
137,0.675358969,0,18,4,0,3
138,1.061873532,0,18,4,0,3
139,1.983525133,0,18,4,0,3
140,1.582701106,0,19,4,0,3
141,0.603006951,1,19,4,0,3
142,0.627428577,0,19,4,0,3
143,0.718172642,0,19,4,0,3
144,0.790022309,0,19,4,0,3
145,0.998268358,0,19,4,0,3
146,1.596785064,0,19,4,0,3
147,2.035736722,0,19,4,0,3
148,4.413336413,1,20,4,0,3
149,4.355259068,0,20,4,0,3
150,0.19838831,0,20,4,0,3
151,-4.256051766,0,20,4,0,3
152,-5.507002153,0,20,4,0,3
153,-5.026690504,0,20,5,0,3
154,-2.825246812,0,20,5,0,3
155,3.206749167,1,20,5,0,2
156,-1.177214401,0,21,5,0,1
